"geo","area_km2"
"AL011",1661
"AL012",3528
"AL013",2469
"AL014",2392
"AL015",770
"AL021",3314
"AL022",1653
"AL031",1882
"AL032",2879
"AL033",2705
"AL034",1801
"AL035",3737
"AT111",701
"AT112",1792
"AT113",1471
"AT121",3356
"AT122",3368
"AT123",1230
"AT124",4615
"AT125",2413
"AT126",2723
"AT127",1475
"AT130",415
"AT211",2030
"AT212",4132
"AT213",3375
"AT221",1212
"AT222",3319
"AT223",3211
"AT224",3329
"AT225",2292
"AT226",3061
"AT311",2823
"AT312",1744
"AT313",2661
"AT314",2238
"AT315",2516
"AT321",1020
"AT322",4396
"AT323",1738
"AT331",1237
"AT332",2095
"AT333",2020
"AT334",3320
"AT335",3977
"AT341",1876
"AT342",726
"BE100",162
"BE211",1004
"BE212",512
"BE213",1360
"BE221",909
"BE222",886
"BE223",634
"BE224",884
"BE225",911
"BE231",473
"BE232",347
"BE233",336
"BE234",950
"BE235",423
"BE236",480
"BE241",949
"BE242",1169
"BE251",665
"BE252",365
"BE253",554
"BE254",406
"BE255",293
"BE256",274
"BE257",332
"BE258",278
"BE310",1097
"BE321",491
"BE322",559
"BE323",589
"BE324",102
"BE325",519
"BE326",940
"BE327",613
"BE328",715
"BE329",219
"BE32A",672
"BE32B",476
"BE32C",358
"BE32D",785
"BE331",661
"BE332",796
"BE334",390
"BE335",1164
"BE336",847
"BE341",319
"BE342",1047
"BE343",958
"BE344",1359
"BE345",778
"BE351",1597
"BE352",1168
"BE353",911
"BG311",3035
"BG312",3629
"BG313",3620
"BG314",4651
"BG315",4133
"BG321",4661
"BG322",2023
"BG323",2868
"BG324",2414
"BG325",2846
"BG331",3822
"BG332",4720
"BG333",3395
"BG334",2711
"BG341",7751
"BG342",3544
"BG343",3356
"BG344",5150
"BG411",1342
"BG412",7063
"BG413",6451
"BG414",2392
"BG415",3053
"BG421",5961
"BG422",5532
"BG423",4456
"BG424",3205
"BG425",3212
"CH011",3212
"CH012",5223
"CH013",282
"CH021",5959
"CH022",1671
"CH023",789
"CH024",803
"CH025",839
"CH031",37
"CH032",517
"CH033",1404
"CH040",1728
"CH051",686
"CH052",298
"CH053",243
"CH054",172
"CH055",2033
"CH056",7107
"CH057",990
"CH061",1493
"CH062",1076
"CH063",907
"CH064",491
"CH065",276
"CH066",239
"CH070",2812
"CY000",9253
"CZ010",496
"CZ020",10929
"CZ031",10058
"CZ032",7649
"CZ041",3310
"CZ042",5339
"CZ051",3163
"CZ052",4759
"CZ053",4519
"CZ063",6796
"CZ064",7188
"CZ071",5273
"CZ072",3962
"CZ080",5430
"DE111",207
"DE112",618
"DE113",641
"DE114",642
"DE115",687
"DE116",858
"DE117",100
"DE118",1100
"DE119",777
"DE11A",1484
"DE11B",1304
"DE11C",627
"DE11D",1511
"DE121",140
"DE122",173
"DE123",1085
"DE124",738
"DE125",109
"DE126",145
"DE127",1126
"DE128",1062
"DE129",98
"DE12A",797
"DE12B",574
"DE12C",870
"DE131",153
"DE132",1378
"DE133",680
"DE134",1860
"DE135",769
"DE136",1025
"DE137",734
"DE138",818
"DE139",807
"DE13A",1131
"DE141",1092
"DE142",519
"DE143",918
"DE144",119
"DE145",1359
"DE146",1409
"DE147",665
"DE148",1632
"DE149",1204
"DE211",133
"DE212",311
"DE213",37
"DE214",569
"DE215",840
"DE216",1111
"DE217",579
"DE218",549
"DE219",1214
"DE21A",871
"DE21B",800
"DE21C",435
"DE21D",1012
"DE21E",804
"DE21F",866
"DE21G",805
"DE21H",664
"DE21I",740
"DE21J",761
"DE21K",1439
"DE21L",488
"DE21M",1534
"DE21N",966
"DE221",66
"DE222",70
"DE223",68
"DE224",861
"DE225",984
"DE226",1065
"DE227",1348
"DE228",1530
"DE229",975
"DE22A",1281
"DE22B",1202
"DE22C",878
"DE231",50
"DE232",81
"DE233",71
"DE234",1256
"DE235",1520
"DE236",1344
"DE237",1428
"DE238",1392
"DE239",1465
"DE23A",1084
"DE241",55
"DE242",67
"DE243",48
"DE244",58
"DE245",1168
"DE246",1274
"DE247",590
"DE248",643
"DE249",893
"DE24A",652
"DE24B",658
"DE24C",520
"DE24D",606
"DE251",100
"DE252",77
"DE253",63
"DE254",186
"DE255",41
"DE256",1971
"DE257",565
"DE258",307
"DE259",800
"DE25A",1267
"DE25B",895
"DE25C",971
"DE261",62
"DE262",36
"DE263",88
"DE264",699
"DE265",1137
"DE266",1022
"DE267",956
"DE268",684
"DE269",716
"DE26A",1321
"DE26B",841
"DE26C",968
"DE271",147
"DE272",40
"DE273",63
"DE274",70
"DE275",780
"DE276",1071
"DE277",792
