"country_code","year","persons_killed","fatality_rate_per_million"
"AT",1999,1079,135
"AT",2000,976,122
"AT",2001,958,119
"AT",2002,956,119
"AT",2003,931,115
"AT",2004,878,108
"AT",2005,768,94
"AT",2006,730,88
"AT",2007,691,83
"AT",2008,679,82
"AT",2009,633,76
"AT",2010,552,66
"AT",2011,523,62
"AT",2012,531,63
"AT",2013,455,54
"AT",2014,430,51
"AT",2015,479,56
"AT",2016,432,50
"AT",2017,414,47
"AT",2018,409,46
"AT",2019,416,47
"AT",2020,344,39
"AT",2021,362,41
"AT",2022,370,41
"AT",2023,402,44
"AT",2024,351,38
"BE",1999,1397,137
"BE",2000,1470,144
"BE",2001,1486,145
"BE",2002,1306,127
"BE",2003,1213,117
"BE",2004,1162,112
"BE",2005,1089,104
"BE",2006,1069,102
"BE",2007,1071,101
"BE",2008,944,88
"BE",2009,944,88
"BE",2010,850,78
"BE",2011,884,80
"BE",2012,827,75
"BE",2013,764,69
"BE",2014,745,67
"BE",2015,762,68
"BE",2016,670,59
"BE",2017,609,54
"BE",2018,604,53
"BE",2019,646,56
"BE",2020,499,43
"BE",2021,516,45
"BE",2022,540,46
"BE",2023,501,43
"BE",2024,470,40
"BG",1999,1047,127
"BG",2000,1012,124
"BG",2001,1011,124
"BG",2002,959,122
"BG",2003,960,123
"BG",2004,943,122
"BG",2005,957,124
"BG",2006,1043,137
"BG",2007,1006,133
"BG",2008,1061,141
"BG",2009,901,121
"BG",2010,776,105
"BG",2011,656,89
"BG",2012,601,82
"BG",2013,601,83
"BG",2014,661,93
"BG",2015,708,101
"BG",2016,708,102
"BG",2017,682,100
"BG",2018,610,90
"BG",2019,628,94
"BG",2020,463,70
"BG",2021,561,86
"BG",2022,531,82
"BG",2023,525,81
"BG",2024,478,74
"CH",1999,583,82
"CH",2000,592,83
"CH",2001,544,76
"CH",2002,513,71
"CH",2003,546,75
"CH",2004,510,69
"CH",2005,409,55
"CH",2006,370,50
"CH",2007,384,51
"CH",2008,357,47
"CH",2009,349,45
"CH",2010,327,42
"CH",2011,320,41
"CH",2012,339,43
"CH",2013,269,33
"CH",2014,243,30
"CH",2015,253,31
"CH",2016,216,26
"CH",2017,230,27
"CH",2018,233,27
"CH",2019,187,22
"CH",2020,227,26
"CH",2021,200,23
"CH",2022,241,28
"CH",2023,236,27
"CH",2024,250,28
"CY",1999,113,165
"CY",2000,111,161
"CY",2001,98,140
"CY",2002,94,133
"CY",2003,97,136
"CY",2004,117,162
"CY",2005,102,139
"CY",2006,86,116
"CY",2007,89,117
"CY",2008,82,106
"CY",2009,71,89
"CY",2010,60,73
"CY",2011,71,85
"CY",2012,51,59
"CY",2013,44,51
"CY",2014,45,52
"CY",2015,57,66
"CY",2016,46,53
"CY",2017,53,61
"CY",2018,49,56
"CY",2019,52,58
"CY",2020,48,53
"CY",2021,45,49
"CY",2022,37,40
"CY",2023,34,36
"CY",2024,41,42
"CZ",1999,1455,141
"CZ",2000,1486,145
"CZ",2001,1333,130
"CZ",2002,1430,140
"CZ",2003,1447,142
"CZ",2004,1382,136
"CZ",2005,1286,126
"CZ",2006,1063,104
"CZ",2007,1221,119
"CZ",2008,1076,104
"CZ",2009,901,86
"CZ",2010,802,77
"CZ",2011,773,74
"CZ",2012,742,71
"CZ",2013,654,62
"CZ",2014,688,65
"CZ",2015,734,70
"CZ",2016,611,58
"CZ",2017,577,55
"CZ",2018,656,62
"CZ",2019,618,58
"CZ",2020,518,48
"CZ",2021,532,51
